,County Name,State,Household Median Income,Family's Median Income,Total Population,State Code,County Code,State Abbr
0,St. Clair,Alabama,58308,68977,87989,01,115,AL
1,Cullman,Alabama,44918,56490,82853,01,043,AL
2,Houston,Alabama,47580,60763,104702,01,069,AL
3,Tuscaloosa,Alabama,53326,68736,207305,01,125,AL
4,Coffee,Alabama,55637,67551,51662,01,031,AL
5,Chilton,Alabama,47468,54928,44055,01,021,AL
6,Coosa,Alabama,38990,48681,10757,01,037,AL
7,Etowah,Alabama,44637,57404,102748,01,055,AL
8,Lamar,Alabama,38364,52725,13885,01,075,AL
9,Butler,Alabama,40688,50503,19828,01,013,AL
10,Walker,Alabama,43629,57528,64110,01,127,AL
11,Greene,Alabama,24145,37500,8324,01,063,AL
12,Bullock,Alabama,37785,43333,10248,01,011,AL
13,Chambers,Alabama,42289,53567,33660,01,017,AL
14,Monroe,Alabama,30441,49360,21270,01,099,AL
15,Lawrence,Alabama,44886,55426,33058,01,079,AL
16,Lee,Alabama,51463,72727,161152,01,081,AL
17,Marion,Alabama,35930,48281,29866,01,093,AL
18,Pickens,Alabama,39848,54098,20243,01,107,AL
19,Sumter,Alabama,24320,43938,12797,01,119,AL
20,Jefferson,Alabama,53901,70664,659680,01,073,AL
21,Choctaw,Alabama,35892,46759,12925,01,023,AL
22,Franklin,Alabama,43514,51224,31466,01,059,AL
23,Marengo,Alabama,33241,59052,19321,01,091,AL
24,Russell,Alabama,42443,54213,57952,01,113,AL
25,Cherokee,Alabama,41919,55542,25903,01,019,AL
26,Covington,Alabama,42189,54031,37200,01,039,AL
27,Crenshaw,Alabama,43163,57778,13844,01,041,AL
28,Dallas,Alabama,33845,45333,39149,01,047,AL
29,Lauderdale,Alabama,48094,65808,92556,01,077,AL
30,Lowndes,Alabama,30036,41444,10079,01,085,AL
31,Macon,Alabama,33370,48723,18708,01,087,AL
32,Limestone,Alabama,59686,75234,94727,01,083,AL
33,Shelby,Alabama,77799,95848,213432,01,117,AL
34,Winston,Alabama,35788,47885,23784,01,133,AL
35,Baldwin,Alabama,58320,75850,212830,01,003,AL
36,Elmore,Alabama,60891,72545,81144,01,051,AL
37,Jackson,Alabama,41769,52790,51852,01,071,AL
38,Talladega,Alabama,41325,54699,80387,01,121,AL
39,Washington,Alabama,41370,52878,16541,01,129,AL
40,Clay,Alabama,40845,49976,13337,01,027,AL
41,Morgan,Alabama,52156,64035,119213,01,103,AL
42,Pike,Alabama,37446,57006,33333,01,109,AL
43,Colbert,Alabama,48065,60740,54771,01,033,AL
44,Dale,Alabama,47214,57404,49277,01,045,AL
45,Hale,Alabama,34046,54529,14809,01,065,AL
46,DeKalb,Alabama,40440,49250,71310,01,049,AL
47,Escambia,Alabama,36275,48964,37057,01,053,AL
48,Randolph,Alabama,43395,54555,22647,01,111,AL
49,Mobile,Alabama,47583,60779,414114,01,097,AL
50,Perry,Alabama,23447,35469,9293,01,105,AL
51,Cleburne,Alabama,44741,57342,14916,01,029,AL
52,Conecuh,Alabama,37837,47941,12394,01,035,AL
53,Barbour,Alabama,32525,41704,25361,01,005,AL
54,Bibb,Alabama,47542,57891,22493,01,007,AL
55,Calhoun,Alabama,47255,59147,114618,01,015,AL
56,Clarke,Alabama,37404,52956,24128,01,025,AL
57,Fayette,Alabama,39856,51379,16494,01,057,AL
58,Montgomery,Alabama,50124,63191,226941,01,101,AL
59,Marshall,Alabama,45983,56811,95643,01,095,AL
60,Blount,Alabama,49358,62295,57681,01,009,AL
61,Henry,Alabama,50017,60684,17133,01,067,AL
62,Madison,Alabama,65449,85537,362276,01,089,AL
63,Autauga,Alabama,58731,71103,55380,01,001,AL
64,Tallapoosa,Alabama,45828,56392,40541,01,123,AL
65,Geneva,Alabama,41732,50660,26417,01,061,AL
66,Wilcox,Alabama,31014,42438,10681,01,131,AL
67,Haines Borough,Alaska,58059,81034,2518,02,100,AK
68,Juneau City and Borough,Alaska,88390,108750,32227,02,110,AK
69,Yukon-Koyukuk,Alaska,41413,51544,5377,02,290,AK
70,Denali Borough,Alaska,81719,104375,2246,02,068,AK
71,Hoonah-Angoon,Alaska,59803,67500,2139,02,105,AK
72,Wrangell City and Borough,Alaska,53894,69600,2502,02,275,AK
73,Bethel,Alaska,53553,53985,18134,02,050,AK
74,North Slope Borough,Alaska,79306,83419,9792,02,185,AK
75,Sitka City and Borough,Alaska,73682,91935,8640,02,220,AK
76,Fairbanks North Star Borough,Alaska,76992,89993,99072,02,090,AK
77,Ketchikan Gateway Borough,Alaska,72728,90684,13800,02,130,AK
78,Matanuska-Susitna Borough,Alaska,75493,90704,105369,02,170,AK
79,Nome,Alaska,61048,59559,9988,02,180,AK
80,Dillingham,Alaska,56898,55804,4961,02,070,AK
81,Yakutat City and Borough,Alaska,71607,78125,649,02,282,AK
82,Lake and Peninsula Borough,Alaska,44135,47857,1393,02,164,AK
83,Southeast Fairbanks,Alaska,70056,84977,6878,02,240,AK
84,Anchorage Municipality,Alaska,84928,102065,293531,02,020,AK
85,Aleutians East Borough,Alaska,69250,77692,3385,02,013,AK
86,Valdez-Cordova,Alaska,79867,99102,9243,02,261,AK
87,Kenai Peninsula Borough,Alaska,66064,88519,58464,02,122,AK
88,Skagway Municipality,Alaska,73906,83214,1107,02,230,AK
89,Prince of Wales-Hyder,Alaska,52379,64712,6407,02,198,AK
90,Petersburg Borough,Alaska,69948,83125,3257,02,195,AK
91,Kusilvak,Alaska,36754,36341,8250,02,158,AK
92,Aleutians West,Alaska,87466,95500,5698,02,016,AK
93,Bristol Bay Borough,Alaska,79808,98214,875,02,060,AK
94,Kodiak Island Borough,Alaska,85839,97485,13451,02,150,AK
95,Northwest Arctic Borough,Alaska,60906,58676,7715,02,188,AK
96,Pima,Arizona,53379,66727,1027207,04,019,AZ
97,Gila,Arizona,43524,51428,53546,04,007,AZ
98,Cochise,Arizona,49260,59657,125867,04,003,AZ
99,Apache,Arizona,32508,41259,71511,04,001,AZ
100,Yuma,Arizona,45243,50338,209468,04,027,AZ
101,Navajo,Arizona,40067,48944,109270,04,017,AZ
102,Maricopa,Arizona,64468,76769,4328810,04,013,AZ
103,Graham,Arizona,51353,59470,37996,04,009,AZ
104,Santa Cruz,Arizona,41259,46738,46480,04,023,AZ
105,La Paz,Arizona,34643,44419,20793,04,012,AZ
106,Mohave,Arizona,45587,54414,207695,04,015,AZ
107,Coconino,Arizona,59460,75787,141274,04,005,AZ
108,Yavapai,Arizona,52451,64608,228067,04,025,AZ
109,Greenlee,Arizona,63473,64502,9522,04,011,AZ
110,Pinal,Arizona,58174,66488,432793,04,021,AZ
111,Desha,Arkansas,31893,41467,11709,05,041,AR
112,Fulton,Arkansas,35405,46190,12231,05,049,AR
113,Howard,Arkansas,36059,50445,13311,05,061,AR
114,Garland,Arkansas,44777,58512,98555,05,051,AR
115,Mississippi,Arkansas,39962,48993,42126,05,093,AR
116,Pope,Arkansas,43462,54820,63761,05,115,AR
117,Prairie,Arkansas,42660,56020,8189,05,117,AR
118,Union,Arkansas,44663,56163,39449,05,139,AR
119,Woodruff,Arkansas,32845,53107,6533,05,147,AR
120,Cleburne,Arkansas,44483,55072,25100,05,023,AR
121,Cleveland,Arkansas,46684,55906,8128,05,025,AR
122,Jackson,Arkansas,34109,44229,17027,05,067,AR
123,Hempstead,Arkansas,42860,53442,21842,05,057,AR
124,Sharp,Arkansas,34671,44149,17139,05,135,AR
125,Stone,Arkansas,38188,49487,12475,05,137,AR
126,Washington,Arkansas,50451,63719,232289,05,143,AR
127,Baxter,Arkansas,42260,50644,41427,05,005,AR
128,Ashley,Arkansas,44744,55924,20270,05,003,AR
129,Craighead,Arkansas,47286,60757,107345,05,031,AR
130,Greene,Arkansas,47056,56700,44937,05,055,AR
131,Perry,Arkansas,48667,59570,10355,05,105,AR
132,Poinsett,Arkansas,40921,49528,23896,05,111,AR
133,Sevier,Arkansas,47704,55083,17081,05,133,AR
134,Calhoun,Arkansas,46417,59539,5192,05,013,AR
135,Clark,Arkansas,41620,58775,22386,05,019,AR
136,Lawrence,Arkansas,39993,50907,16549,05,075,AR
137,Monroe,Arkansas,38468,50613,7050,05,095,AR
138,Conway,Arkansas,42802,55048,20858,05,029,AR
139,Newton,Arkansas,38082,51629,7812,05,101,AR
140,Arkansas,Arkansas,46696,57186,17914,05,001,AR
141,Lonoke,Arkansas,59094,70206,72528,05,085,AR
142,Carroll,Arkansas,46110,57702,27965,05,015,AR
143,St. Francis,Arkansas,35348,43101,25900,05,123,AR
144,Pulaski,Arkansas,51749,68090,392967,05,119,AR
145,Clay,Arkansas,37233,50687,14889,05,021,AR
146,Drew,Arkansas,46997,63542,18417,05,043,AR
147,Randolph,Arkansas,37218,44657,17695,05,121,AR
148,Boone,Arkansas,45374,53010,37331,05,009,AR
149,Lincoln,Arkansas,46596,57747,13455,05,079,AR
150,Crittenden,Arkansas,40161,51070,48672,05,035,AR
151,Faulkner,Arkansas,52827,70444,123624,05,045,AR
152,Marion,Arkansas,36719,46551,16476,05,089,AR
153,Searcy,Arkansas,36438,43268,7908,05,129,AR
154,Benton,Arkansas,66362,77122,265759,05,007,AR
155,Hot Spring,Arkansas,43889,54124,33597,05,059,AR
156,Madison,Arkansas,41682,57077,16211,05,087,AR
157,Nevada,Arkansas,38042,45353,8351,05,099,AR
158,Cross,Arkansas,46787,61000,16824,05,037,AR
159,Dallas,Arkansas,38072,51701,7279,05,039,AR
160,Columbia,Arkansas,36193,48061,23776,05,027,AR
161,Saline,Arkansas,64412,78245,119415,05,125,AR
162,Van Buren,Arkansas,38499,48116,16642,05,141,AR
163,Izard,Arkansas,42876,54375,13570,05,065,AR
164,Independence,Arkansas,44319,54520,37427,05,063,AR
165,Logan,Arkansas,41466,49319,21668,05,083,AR
166,Grant,Arkansas,55388,65050,18126,05,053,AR
167,Franklin,Arkansas,38923,52003,17738,05,047,AR
168,Pike,Arkansas,40401,51779,10756,05,109,AR
169,Jefferson,Arkansas,40726,52129,69282,05,069,AR
170,Montgomery,Arkansas,35741,47279,8950,05,097,AR
171,Scott,Arkansas,36092,46849,10376,05,127,AR
172,Sebastian,Arkansas,46228,55104,127591,05,131,AR
173,Crawford,Arkansas,46828,55082,62739,05,033,AR
174,Chicot,Arkansas,34147,42500,10615,05,017,AR
175,Johnson,Arkansas,38511,45989,26372,05,071,AR
176,Lee,Arkansas,29681,50338,9194,05,077,AR
177,Lafayette,Arkansas,32397,43678,6800,05,073,AR
178,Phillips,Arkansas,29320,38786,18606,05,107,AR
179,Yell,Arkansas,43923,50792,21464,05,149,AR
180,Bradley,Arkansas,43184,53040,10874,05,011,AR
181,Polk,Arkansas,37974,44307,20094,05,113,AR
182,Ouachita,Arkansas,35425,48439,23830,05,103,AR
183,Little River,Arkansas,45113,59807,12347,05,081,AR
184,Miller,Arkansas,43371,56321,43572,05,091,AR
185,White,Arkansas,44029,57117,78762,05,145,AR
186,Merced,California,53672,58871,271382,06,047,CA
187,Mariposa,California,48820,60304,17420,06,043,CA
188,Modoc,California,45507,57208,8907,06,049,CA
189,Contra Costa,California,99716,114535,1142251,06,013,CA
190,Inyo,California,57316,74384,17977,06,027,CA
191,Stanislaus,California,60704,67253,543194,06,099,CA
192,Santa Barbara,California,74624,85186,444829,06,083,CA
193,Tehama,California,44514,54819,63912,06,103,CA
194,Mono,California,62260,71804,14310,06,051,CA
195,San Benito,California,86958,94572,60376,06,069,CA
196,Sacramento,California,67151,78790,1524553,06,067,CA
197,El Dorado,California,83377,102777,188563,06,017,CA
198,Monterey,California,71015,76943,433410,06,053,CA
199,San Francisco,California,112449,131595,874961,06,075,CA
200,San Diego,California,78980,91034,3316073,06,073,CA
201,Tulare,California,49687,53330,461898,06,107,CA
202,Humboldt,California,48041,64790,135940,06,023,CA
203,Alpine,California,63750,94792,1039,06,003,CA
204,Madera,California,57585,61396,155433,06,039,CA
205,Santa Cruz,California,82234,102708,273962,06,087,CA
206,Trinity,California,40846,50114,12700,06,105,CA
207,Riverside,California,67005,76938,2411439,06,065,CA
208,San Bernardino,California,63362,70188,2149031,06,071,CA
209,Marin,California,115246,153656,259943,06,041,CA
210,Placer,California,89691,108448,385512,06,061,CA
211,Shasta,California,54667,66613,179212,06,089,CA
212,Solano,California,81472,92456,441829,06,095,CA
213,Colusa,California,59401,66910,21454,06,011,CA
214,Glenn,California,49633,57954,27976,06,021,CA
215,Butte,California,52537,67863,225817,06,007,CA
216,Kings,California,57848,60314,150691,06,031,CA
217,Plumas,California,55359,74160,18660,06,063,CA
218,San Luis Obispo,California,73518,92716,282165,06,079,CA
219,Fresno,California,53969,60668,984521,06,019,CA
220,Kern,California,53350,59464,887641,06,029,CA
221,Orange,California,90234,102052,3168044,06,059,CA
222,Ventura,California,88131,99612,847263,06,111,CA
223,Calaveras,California,63158,81002,45514,06,009,CA
224,Sutter,California,59050,65288,96109,06,101,CA
225,San Mateo,California,122641,141881,767423,06,081,CA
226,Tuolumne,California,60108,75877,54045,06,109,CA
227,San Joaquin,California,64432,72874,742603,06,077,CA
228,Amador,California,62772,77876,38429,06,005,CA
229,Lake,California,47040,59235,64195,06,033,CA
230,Yuba,California,58054,67305,76360,06,115,CA
231,Lassen,California,56352,66290,30818,06,035,CA
232,Sonoma,California,81018,97203,499772,06,097,CA
233,Imperial,California,47622,55256,180701,06,025,CA
234,Alameda,California,99406,119612,1656754,06,001,CA
235,Napa,California,88596,102010,139623,06,055,CA
236,Sierra,California,52148,74583,3040,06,091,CA
237,Yolo,California,70228,90155,217352,06,113,CA
238,Nevada,California,66096,85678,99244,06,057,CA
239,Mendocino,California,51416,63605,87224,06,045,CA
240,Los Angeles,California,68044,76673,10081570,06,037,CA
241,Santa Clara,California,124055,140651,1927470,06,085,CA
242,Siskiyou,California,45241,56377,43468,06,093,CA
243,Del Norte,California,45283,57189,27495,06,015,CA
244,Phillips,Colorado,51155,62009,4290,08,095,CO
245,Archuleta,Colorado,52221,62081,13253,08,007,CO
246,Denver,Colorado,68592,87649,705576,08,031,CO
247,Kiowa,Colorado,41731,51875,1489,08,061,CO
248,Huerfano,Colorado,38137,51089,6679,08,055,CO
249,Baca,Colorado,35878,48182,3561,08,009,CO
250,Gilpin,Colorado,76429,93581,6018,08,047,CO
251,Kit Carson,Colorado,49349,60145,7447,08,063,CO
252,Gunnison,Colorado,56577,88218,16802,08,051,CO
253,Mineral,Colorado,62188,65313,824,08,079,CO
254,Ouray,Colorado,66417,79071,4796,08,091,CO
255,Sedgwick,Colorado,43150,62500,2322,08,115,CO
256,Weld,Colorado,74150,84550,305345,08,123,CO
257,Custer,Colorado,53119,63431,4776,08,027,CO
258,Costilla,Colorado,30965,39917,3745,08,023,CO
259,Douglas,Colorado,119730,134931,336041,08,035,CO
260,Lake,Colorado,50565,63596,7751,08,065,CO
261,La Plata,Colorado,68685,91092,55617,08,067,CO
262,Pitkin,Colorado,78935,97153,17926,08,097,CO
263,Rio Grande,Colorado,39123,58081,11305,08,105,CO
264,Bent,Colorado,30900,40577,5787,08,011,CO
265,Crowley,Colorado,42135,54406,5754,08,025,CO
266,San Juan,Colorado,54625,61250,589,08,111,CO
267,Larimer,Colorado,71881,91840,344786,08,069,CO
268,Logan,Colorado,53318,66512,22380,08,075,CO
269,San Miguel,Colorado,67038,94259,8049,08,113,CO
270,Teller,Colorado,66592,79512,24524,08,119,CO
271,Elbert,Colorado,99199,111604,25717,08,039,CO
272,Las Animas,Colorado,41817,55241,14266,08,071,CO
273,Lincoln,Colorado,47258,70036,5585,08,073,CO
274,Summit,Colorado,79277,89800,30649,08,117,CO
275,Alamosa,Colorado,37515,48035,16107,08,003,CO
276,Delta,Colorado,45269,61398,30565,08,029,CO
277,Fremont,Colorado,49409,61304,47321,08,043,CO
278,Montrose,Colorado,50489,62971,41686,08,085,CO
279,Morgan,Colorado,53682,63313,28517,08,087,CO
280,Saguache,Colorado,38571,51494,6592,08,109,CO
281,Prowers,Colorado,41929,49627,12022,08,099,CO
282,Washington,Colorado,50094,63170,4868,08,121,CO
283,Grand,Colorado,71198,85453,15303,08,049,CO
284,Otero,Colorado,38169,53246,18282,08,089,CO
285,Broomfield,Colorado,96416,119017,67886,08,014,CO
286,Hinsdale,Colorado,56339,64886,857,08,053,CO
287,Dolores,Colorado,45972,55938,1857,08,033,CO
288,Jackson,Colorado,53300,61429,1261,08,057,CO
289,Montezuma,Colorado,49470,57800,26031,08,083,CO
290,Boulder,Colorado,83019,112815,322510,08,013,CO
291,Yuma,Colorado,52022,53264,10003,08,125,CO
292,Routt,Colorado,77443,94972,25072,08,107,CO
293,Clear Creek,Colorado,67060,100156,9495,08,019,CO
294,Pueblo,Colorado,46783,60139,165982,08,101,CO
295,Park,Colorado,73622,87934,17867,08,093,CO
296,Mesa,Colorado,55379,69308,151218,08,077,CO
297,El Paso,Colorado,68779,81957,698974,08,041,CO
298,Arapahoe,Colorado,77469,94344,644560,08,005,CO
299,Chaffee,Colorado,55771,71823,19557,08,015,CO
300,Garfield,Colorado,75937,84774,59055,08,045,CO
301,Jefferson,Colorado,82986,104183,574798,08,059,CO
302,Rio Blanco,Colorado,54357,75859,6384,08,103,CO
303,Conejos,Colorado,36084,46768,8128,08,021,CO
304,Adams,Colorado,71202,80651,504108,08,001,CO
305,Eagle,Colorado,84790,94149,54681,08,037,CO
306,Moffat,Colorado,57229,71675,13127,08,081,CO
307,Cheyenne,Colorado,53977,81144,2026,08,017,CO
308,New Haven,Connecticut,69905,90449,857513,09,009,CT
309,Hartford,Connecticut,75148,95628,893561,09,003,CT
310,Windham,Connecticut,66550,82993,116566,09,015,CT
311,New London,Connecticut,73490,91499,267390,09,011,CT
312,Middlesex,Connecticut,85898,110020,163053,09,007,CT
313,Tolland,Connecticut,87069,113536,151063,09,013,CT
314,Fairfield,Connecticut,95645,118752,943926,09,001,CT
315,Litchfield,Connecticut,79906,101374,182002,09,005,CT
316,Sussex,Delaware,63162,74745,224384,10,005,DE
317,New Castle,Delaware,73892,91568,556165,10,003,DE
318,Kent,Delaware,60910,70919,176699,10,001,DE
319,District of Columbia,District of Columbia,86420,113561,692683,11,001,DC
320,Washington,Florida,37022,47022,24764,12,133,FL
321,Duval,Florida,55807,67947,936186,12,031,FL
322,Bradford,Florida,45921,54554,27317,12,007,FL
323,Brevard,Florida,56775,71135,585507,12,009,FL
324,Clay,Florida,65740,74803,211405,12,019,FL
325,Lafayette,Florida,50165,60360,8637,12,067,FL
326,Lake,Florida,54513,65724,345867,12,069,FL
327,Nassau,Florida,69943,81672,83098,12,089,FL
328,Pinellas,Florida,54090,72411,964666,12,103,FL
329,Polk,Florida,50584,58508,686218,12,105,FL
330,St. Lucie,Florida,52322,61739,312947,12,111,FL
331,Glades,Florida,40977,48750,13516,12,043,FL
332,Hendry,Florida,40820,45079,40732,12,051,FL
333,Indian River,Florida,54740,70054,153989,12,061,FL
334,Jackson,Florida,39872,52144,47945,12,063,FL
335,St. Johns,Florida,82252,99320,244674,12,109,FL
336,Seminole,Florida,66768,81291,461402,12,117,FL
337,Bay,Florida,54316,67480,182161,12,005,FL
338,Flagler,Florida,54514,63028,109801,12,035,FL
339,Gulf,Florida,47712,55403,15576,12,045,FL
340,Liberty,Florida,38015,42045,8345,12,077,FL
341,Osceola,Florida,52279,57372,351955,12,097,FL
342,Walton,Florida,58093,71778,68262,12,131,FL
343,Gadsden,Florida,41401,50694,45945,12,039,FL
344,Jefferson,Florida,47240,61044,14161,12,065,FL
345,Marion,Florida,45371,54581,353526,12,083,FL
346,Hardee,Florida,38682,49344,27131,12,049,FL
347,Okeechobee,Florida,41760,48505,41144,12,093,FL
348,Orange,Florida,58254,67326,1349746,12,095,FL
349,Gilchrist,Florida,43640,50567,17953,12,041,FL
350,Suwannee,Florida,47839,53125,44046,12,121,FL
351,Alachua,Florida,49689,75920,265443,12,001,FL
352,Calhoun,Florida,38568,57225,14362,12,013,FL
353,Charlotte,Florida,51499,62471,181067,12,015,FL
354,Dixie,Florida,39828,45360,16589,12,029,FL
355,Martin,Florida,61133,79182,159065,12,085,FL
356,Sarasota,Florida,62236,77940,419496,12,115,FL
357,Manatee,Florida,59009,71605,384213,12,081,FL
358,Citrus,Florida,44237,54892,145169,12,017,FL
359,Baker,Florida,63275,73022,28211,12,003,FL
360,Santa Rosa,Florida,67949,77144,174755,12,113,FL
361,Leon,Florida,53106,77430,289770,12,073,FL
362,Broward,Florida,59547,71206,1926205,12,011,FL
363,Monroe,Florida,70033,83576,75798,12,087,FL
364,Hernando,Florida,48812,57170,186313,12,053,FL
365,Hillsborough,Florida,58884,72124,1422278,12,057,FL
366,Taylor,Florida,40306,50167,21870,12,123,FL
367,Wakulla,Florida,61410,70917,32321,12,129,FL
368,Palm Beach,Florida,63299,78370,1465027,12,099,FL
369,Miami-Dade,Florida,51347,57871,2699428,12,086,FL
370,Franklin,Florida,46643,55573,11811,12,037,FL
371,Hamilton,Florida,38569,50777,14326,12,047,FL
372,Sumter,Florida,57226,70564,125044,12,119,FL
373,Holmes,Florida,39102,51083,19432,12,059,FL
374,Lee,Florida,57832,69496,737468,12,071,FL
375,Collier,Florida,69653,82092,371453,12,021,FL
376,Pasco,Florida,52828,65393,524602,12,101,FL
377,Highlands,Florida,40942,49717,103437,12,055,FL
378,DeSoto,Florida,35438,41913,36903,12,027,FL
379,Columbia,Florida,46494,60910,69968,12,023,FL
380,Putnam,Florida,37670,46431,73252,12,107,FL
381,Union,Florida,44270,53719,15303,12,125,FL
382,Levy,Florida,37326,46692,40403,12,075,FL
383,Volusia,Florida,49494,62616,536487,12,127,FL
384,Madison,Florida,37037,48121,18460,12,079,FL
385,Escambia,Florida,50915,64880,313491,12,033,FL
386,Okaloosa,Florida,63412,76796,203794,12,091,FL
387,Bacon,Georgia,37519,45764,11201,13,005,GA
388,Brantley,Georgia,38857,49979,18756,13,025,GA
389,Ben Hill,Georgia,32229,40048,17033,13,017,GA
390,Burke,Georgia,44151,47542,22520,13,033,GA
391,Catoosa,Georgia,56235,67861,66700,13,047,GA
392,Chattahoochee,Georgia,47096,49669,10560,13,053,GA
393,Chattooga,Georgia,36807,46266,24812,13,055,GA
394,Columbia,Georgia,82339,92070,150705,13,073,GA
395,Decatur,Georgia,41481,49985,26682,13,087,GA
396,Floyd,Georgia,48336,60027,97369,13,115,GA
397,Forsyth,Georgia,107218,119045,228383,13,117,GA
398,Habersham,Georgia,50563,61226,44626,13,137,GA
399,Hart,Georgia,43204,56105,25773,13,147,GA
400,Lowndes,Georgia,42441,56081,115364,13,185,GA
401,McIntosh,Georgia,49504,68260,14174,13,191,GA
402,Meriwether,Georgia,37121,47757,21106,13,199,GA
403,Monroe,Georgia,54754,79642,27171,13,207,GA
404,Putnam,Georgia,51606,62810,21691,13,237,GA
405,Sumter,Georgia,36681,50820,30064,13,261,GA
406,Taliaferro,Georgia,37446,46250,1611,13,265,GA
407,Warren,Georgia,37203,44730,5297,13,301,GA
408,Bryan,Georgia,72624,85042,37063,13,029,GA
409,Butts,Georgia,43471,53671,24090,13,035,GA
410,Camden,Georgia,56951,62690,53231,13,039,GA
411,Crawford,Georgia,46283,59722,12325,13,079,GA
412,Early,Georgia,30640,42232,10312,13,099,GA
413,Coffee,Georgia,40859,47327,43021,13,069,GA
414,Coweta,Georgia,75913,86520,143260,13,077,GA
415,Gilmer,Georgia,52625,62062,30414,13,123,GA
416,Walton,Georgia,61599,71845,91442,13,297,GA
417,Wilkes,Georgia,37838,56942,9844,13,317,GA
418,Dodge,Georgia,39302,49220,20829,13,091,GA
419,Gordon,Georgia,45865,51699,57202,13,129,GA
420,Cherokee,Georgia,82740,96381,247515,13,057,GA
421,Fayette,Georgia,90145,107975,112303,13,113,GA
422,Lee,Georgia,69280,79527,29502,13,177,GA
423,Pickens,Georgia,67631,79705,31387,13,227,GA
424,Greene,Georgia,52129,69256,17349,13,133,GA
425,Cook,Georgia,41854,47631,17177,13,075,GA
426,Dawson,Georgia,66281,78603,24536,13,085,GA
427,Fulton,Georgia,69673,95559,1036200,13,121,GA
428,McDuffie,Georgia,43468,50579,21455,13,189,GA
429,Morgan,Georgia,66178,76968,18507,13,211,GA
430,Heard,Georgia,51358,63522,11736,13,149,GA
431,Dougherty,Georgia,39584,46821,89703,13,095,GA
432,Fannin,Georgia,47997,60449,25395,13,111,GA
433,Houston,Georgia,61723,72018,153507,13,153,GA
434,Laurens,Georgia,39120,45708,47405,13,175,GA
435,Spalding,Georgia,47111,55345,65306,13,255,GA
436,Telfair,Georgia,32405,35323,16035,13,271,GA
437,Union,Georgia,50021,61156,23288,13,291,GA
438,Upson,Georgia,37640,53440,26236,13,293,GA
439,Washington,Georgia,38068,48331,20436,13,303,GA
440,White,Georgia,52493,61605,29489,13,311,GA
441,Peach,Georgia,46636,60034,27145,13,225,GA
442,Paulding,Georgia,68370,76349,159825,13,223,GA
443,Pierce,Georgia,42804,50819,19250,13,229,GA
444,Pike,Georgia,64878,80818,18327,13,231,GA
445,Richmond,Georgia,42728,51440,201852,13,245,GA
446,Screven,Georgia,39842,55025,13989,13,251,GA
447,Tattnall,Georgia,40730,52418,25382,13,267,GA
448,Berrien,Georgia,40415,50207,19152,13,019,GA
449,Walker,Georgia,46157,57466,69039,13,295,GA
450,Gwinnett,Georgia,71026,79584,915046,13,135,GA
451,Barrow,Georgia,62345,70167,78991,13,013,GA
452,Charlton,Georgia,41961,49159,13040,13,049,GA
453,Clinch,Georgia,27658,43703,6686,13,065,GA
454,Bartow,Georgia,57423,65580,104919,13,015,GA
455,Douglas,Georgia,63835,73801,143316,13,097,GA
456,Grady,Georgia,43531,53035,24828,13,131,GA
457,Hancock,Georgia,31860,45339,8515,13,141,GA
458,Whitfield,Georgia,48623,56197,104237,13,313,GA
459,Macon,Georgia,32161,43750,13305,13,193,GA
460,Troup,Georgia,45649,58851,69919,13,285,GA
461,Harris,Georgia,76319,92242,34105,13,145,GA
462,Schley,Georgia,44448,50417,5221,13,249,GA
463,Worth,Georgia,45398,53019,20494,13,321,GA
464,Dooly,Georgia,37340,51716,13736,13,093,GA
465,Evans,Georgia,42607,51075,10687,13,109,GA
466,Webster,Georgia,37297,49205,2610,13,307,GA
467,Effingham,Georgia,66822,80627,60477,13,103,GA
468,Glascock,Georgia,45000,68571,2996,13,125,GA
469,Quitman,Georgia,26667,40750,2289,13,239,GA
470,Chatham,Georgia,56842,70079,288496,13,051,GA
471,Johnson,Georgia,42446,51394,9691,13,167,GA
472,Lanier,Georgia,40986,55786,10380,13,173,GA
473,Madison,Georgia,52500,62446,29218,13,195,GA
474,Mitchell,Georgia,38116,41012,22244,13,205,GA
475,Tift,Georgia,45639,53557,40541,13,277,GA
476,Polk,Georgia,44891,56616,41908,13,233,GA
477,Talbot,Georgia,38549,48528,6321,13,263,GA
478,Terrell,Georgia,34768,41127,8737,13,273,GA
479,Thomas,Georgia,43740,55919,44630,13,275,GA
480,Wilkinson,Georgia,38996,51344,9010,13,319,GA
481,Oglethorpe,Georgia,47120,59589,14931,13,221,GA
482,Randolph,Georgia,31699,35709,6973,13,243,GA
483,Ware,Georgia,36869,48999,35593,13,299,GA
484,Wayne,Georgia,45483,54549,29788,13,305,GA
485,Wilcox,Georgia,36964,49432,8824,13,315,GA
486,Baldwin,Georgia,43672,62857,45111,13,009,GA
487,Bulloch,Georgia,45550,57233,76120,13,031,GA
488,Clay,Georgia,22325,26613,2951,13,061,GA
489,Echols,Georgia,39494,53766,3981,13,101,GA
490,DeKalb,Georgia,62399,77215,749323,13,089,GA
491,Haralson,Georgia,48550,60162,29227,13,143,GA
492,Jefferson,Georgia,33944,43796,15618,13,163,GA
493,Lincoln,Georgia,39742,58611,7856,13,181,GA
494,Murray,Georgia,48033,55259,39724,13,213,GA
495,Pulaski,Georgia,45148,55422,11216,13,235,GA
